Element_Name,Abbreviation,Level,BASE,GOE_-5,GOE_-4,GOE_-3,GOE_-2,GOE_-1,GOE_+1,GOE_+2,GOE_+3,GOE_+4,GOE_+5
No Hold Element,NHE,1 s4,6.25,-3.13,-2.50,-1.88,-1.25,-0.63,0.63,1.25,1.88,2.50,3.13
No Hold Element,NHE,3 s2,6.50,-3.25,-2.60,-1.95,-1.30,-0.65,0.65,1.30,1.95,2.60,3.25
No Hold Element,NHE,4 s2,6.75,-3.38,-2.70,-2.03,-1.35,-0.68,0.68,1.35,2.03,2.70,3.38
No Hold Element,NHE,2 s4,7.00,-3.50,-2.80,-2.10,-1.40,-0.70,0.70,1.40,2.10,2.80,3.50
No Hold Element,NHE,3 s3,7.25,-3.63,-2.90,-2.18,-1.45,-0.73,0.73,1.45,2.18,2.90,3.63
No Hold Element,NHE,4 s3,7.50,-3.75,-3.00,-2.25,-1.50,-0.75,0.75,1.50,2.25,3.00,3.75
No Hold Element,NHE,3 s4,7.75,-3.88,-3.10,-2.33,-1.55,-0.78,0.78,1.55,2.33,3.10,3.88
No Hold Element,NHE,4 s4,8.00,-4.00,-3.20,-2.40,-1.60,-0.80,0.80,1.60,2.40,3.20,4.00
Pair Element,Pa,B,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Pair Element,Pa,1,3.50,-1.75,-1.40,-1.05,-0.70,-0.35,0.35,0.70,1.05,1.40,1.75
Pair Element,Pa,2,4.50,-2.25,-1.80,-1.35,-0.90,-0.45,0.45,0.90,1.35,1.80,2.25
Pair Element,Pa,3,6.00,-3.00,-2.40,-1.80,-1.20,-0.60,0.60,1.20,1.80,2.40,3.00
Pair Element,Pa,4,7.00,-3.50,-2.80,-2.10,-1.40,-0.70,0.70,1.40,2.10,2.80,3.50
Pivoting Block,PB,B,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Pivoting Block,PB,1,3.50,-1.75,-1.40,-1.05,-0.70,-0.35,0.35,0.70,1.05,1.40,1.75
Pivoting Block,PB,2,4.50,-2.25,-1.80,-1.35,-0.90,-0.45,0.45,0.90,1.35,1.80,2.25
Pivoting Block,PB,3,5.50,-2.75,-2.20,-1.65,-1.10,-0.55,0.55,1.10,1.65,2.20,2.75
Pivoting Block,PB,4,6.50,-3.25,-2.60,-1.95,-1.30,-0.65,0.65,1.30,1.95,2.60,3.25
Pivoting Line,PL,B,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Pivoting Line,PL,1,3.50,-1.75,-1.40,-1.05,-0.70,-0.35,0.35,0.70,1.05,1.40,1.75
Pivoting Line,PL,2,4.50,-2.25,-1.80,-1.35,-0.90,-0.45,0.45,0.90,1.35,1.80,2.25
Pivoting Line,PL,3,5.50,-2.75,-2.20,-1.65,-1.10,-0.55,0.55,1.10,1.65,2.20,2.75
Pivoting Line,PL,4,6.50,-3.25,-2.60,-1.95,-1.30,-0.65,0.65,1.30,1.95,2.60,3.25
Synchronized Spin Element,SySp,B,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Synchronized Spin Element,SySp,1,3.50,-1.75,-1.40,-1.05,-0.70,-0.35,0.35,0.70,1.05,1.40,1.75
Synchronized Spin Element,SySp,2,4.50,-2.25,-1.80,-1.35,-0.90,-0.45,0.45,0.90,1.35,1.80,2.25
Synchronized Spin Element,SySp,3,6.00,-3.00,-2.40,-1.80,-1.20,-0.60,0.60,1.20,1.80,2.40,3.00
Synchronized Spin Element,SySp,4,7.00,-3.50,-2.80,-2.10,-1.40,-0.70,0.70,1.40,2.10,2.80,3.50
Traveling Element,TrE,B,1.00,-0.50,-0.40,-0.30,-0.20,-0.10,0.10,0.20,0.30,0.40,0.50
Traveling Element,TrE,1,2.00,-1.00,-0.80,-0.60,-0.40,-0.20,0.20,0.40,0.60,0.80,1.00
Traveling Element,TrE,2,3.00,-1.50,-1.20,-0.90,-0.60,-0.30,0.30,0.60,0.90,1.20,1.50
Traveling Element,TrE,3,4.00,-2.00,-1.60,-1.20,-0.80,-0.40,0.40,0.80,1.20,1.60,2.00
Traveling Element,TrE,4,5.00,-2.50,-2.00,-1.50,-1.00,-0.50,0.50,1.00,1.50,2.00,2.50
Twizzle Element,TwE,B,1.50,-0.75,-0.60,-0.45,-0.30,-0.15,0.15,0.30,0.45,0.60,0.75
Twizzle Element,TwE,1,3.50,-1.75,-1.40,-1.05,-0.70,-0.35,0.35,0.70,1.05,1.40,1.75
Twizzle Element,TwE,2,4.50,-2.25,-1.80,-1.35,-0.90,-0.45,0.45,0.90,1.35,1.80,2.25
Twizzle Element,TwE,3,6.00,-3.00,-2.40,-1.80,-1.20,-0.60,0.60,1.20,1.80,2.40,3.00
Twizzle Element,TwE,4,7.00,-3.50,-2.80,-2.10,-1.40,-0.70,0.70,1.40,2.10,2.80,3.50
